,Age,Gender,State,Category,Brand,Quantity,Price,Discount,Product Rating,high_return_risk
2025-04-11 21:36:09,58,Female,Haryana,Shirts,Nike,5,409.0,30,1.0,Yes
2025-04-11 21:36:09,29,Male,Uttar Pradesh,Sleepwear,Nike,3,700.0,25,1.0,Yes
2025-04-11 21:36:09,32,Female,Manipur,Jeans,Zudio,2,898.0,20,3.0,No
2025-04-11 21:36:09,53,Male,Arunachal Pradesh,Jackets,Zudio,6,607.0,10,3.5,Yes
2025-04-11 21:36:09,25,Female,Goa,Jackets,Adidas,5,568.0,10,1.0,No
2025-04-11 21:36:09,62,Female,Jharkhand,Shorts,Zudio,6,615.0,25,1.0,Yes
2025-04-11 21:36:09,56,Female,Jharkhand,Skirts,Levie's,5,652.0,10,2.0,No
2025-04-11 21:36:09,67,Male,West Bengal,Shirts,Adidas,4,951.0,25,3.5,No
2025-04-11 21:36:09,32,Female,Assam,Shirts,Nike,2,909.0,10,3.0,No
2025-04-11 21:36:09,37,Female,Kerala,Activewear,Zudio,7,758.0,25,2.0,No
2025-04-11 21:36:09,62,Female,Haryana,Shorts,Nike,5,759.0,25,3.5,No
2025-04-11 21:36:09,32,Male,Nagaland,Dresses,Zudio,4,839.0,15,1.5,No
2025-04-11 21:36:09,51,Female,Andhra Pradesh,Suits,Zudio,3,611.0,30,3.0,No
2025-04-11 21:36:09,43,Female,Goa,Jeans,Levie's,3,953.0,30,1.0,Yes
2025-04-11 21:36:09,70,Male,Tamil Nadu,Skirts,H&M,1,767.0,25,1.5,No
2025-04-11 21:36:09,35,Male,Gujarat,Ethnic Wear,Puma,1,724.0,10,2.0,Yes
2025-04-11 21:36:09,67,Female,Tamil Nadu,Skirts,H&M,1,825.0,25,1.5,Yes
2025-04-11 21:36:09,60,Male,Haryana,Ethnic Wear,Levie's,7,963.0,25,3.0,No
2025-04-11 21:36:09,35,Female,Sikkim,Skirts,H&M,6,806.0,30,2.5,Yes
2025-04-11 21:36:09,50,Male,Madhya Pradesh,T-shirts,H&M,1,922.0,25,3.0,Yes
2025-04-11 21:36:09,19,Male,Uttarakhand,Dresses,Zudio,5,485.0,10,1.5,No
2025-04-11 21:36:09,46,Female,Rajasthan,T-shirts,Puma,2,830.0,30,4.0,No
2025-04-11 21:36:09,65,Female,Maharashtra,Dresses,Zudio,2,518.0,30,4.0,No
2025-04-11 21:36:09,56,Female,Manipur,T-shirts,Pantaloons,7,870.0,10,1.0,Yes
2025-04-11 21:36:09,41,Male,Jharkhand,Activewear,Adidas,3,419.0,10,3.5,Yes
2025-04-11 21:36:09,38,Female,Odisha,Suits,H&M,2,745.0,20,2.5,No
2025-04-11 21:36:09,68,Male,Kerala,Suits,Raymond,7,754.0,15,4.5,Yes
2025-04-11 21:36:09,50,Female,Himachal Pradesh,Formal Wear,Raymond,4,524.0,20,3.5,No
2025-04-11 21:36:09,26,Female,Chhattisgarh,Jackets,Nike,2,681.0,25,1.5,Yes
2025-04-11 21:36:09,65,Female,Arunachal Pradesh,T-shirts,Nike,2,820.0,10,1.5,No
2025-04-11 21:36:09,67,Male,Himachal Pradesh,Shirts,Adidas,4,616.0,20,2.0,Yes
2025-04-11 21:36:09,70,Female,Assam,Ethnic Wear,Nike,4,888.0,25,2.5,No
2025-04-11 21:36:09,69,Male,Telangana,Formal Wear,Zudio,5,410.0,25,1.5,Yes
2025-04-11 21:36:09,35,Female,Bihar,Trousers,Raymond,5,578.0,15,5.0,Yes
2025-04-11 21:36:09,21,Male,Bihar,Sweaters,Puma,2,789.0,20,5.0,Yes
2025-04-11 21:36:09,64,Male,Tamil Nadu,Activewear,Zudio,5,947.0,10,2.0,Yes
2025-04-11 21:36:09,41,Female,Odisha,Ethnic Wear,H&M,3,892.0,10,2.0,No
2025-04-11 21:36:09,61,Male,Manipur,Dresses,Adidas,1,982.0,15,4.0,No
2025-04-11 21:36:09,68,Female,Andhra Pradesh,Sleepwear,Adidas,1,635.0,25,2.0,No
2025-04-11 21:36:09,64,Female,Tripura,Activewear,Adidas,2,764.0,10,5.0,Yes
2025-04-11 21:36:09,54,Female,Tripura,Sweaters,Levie's,4,900.0,25,3.0,Yes
2025-04-11 21:36:09,49,Male,Tamil Nadu,Suits,Pantaloons,1,683.0,20,4.0,Yes
2025-04-11 21:36:09,33,Female,Himachal Pradesh,Jeans,Pantaloons,6,855.0,15,2.5,Yes
2025-04-11 21:36:09,49,Male,Goa,Jackets,Raymond,2,412.0,15,2.0,Yes
2025-04-11 21:36:09,49,Male,Karnataka,T-shirts,H&M,1,747.0,30,1.0,No
2025-04-11 21:36:09,40,Male,Bihar,Dresses,Puma,1,819.0,20,2.5,Yes
2025-04-11 21:36:09,43,Female,Madhya Pradesh,Jackets,H&M,3,910.0,20,2.5,No
2025-04-11 21:36:09,32,Female,Uttarakhand,Suits,Puma,1,958.0,25,2.5,Yes
2025-04-11 21:36:09,32,Male,Maharashtra,Ethnic Wear,Adidas,2,892.0,15,5.0,Yes
2025-04-11 21:36:09,49,Female,Odisha,Skirts,Levie's,4,525.0,15,5.0,Yes
2025-04-11 21:36:09,56,Male,Telangana,Sleepwear,Zudio,2,409.0,30,1.5,No
2025-04-11 21:36:09,64,Male,Tripura,Shirts,Zudio,3,474.0,25,1.0,No
2025-04-11 21:36:09,33,Female,Tamil Nadu,Shorts,Zudio,2,427.0,10,4.0,Yes
2025-04-11 21:36:09,62,Male,Andhra Pradesh,Undergarments,Adidas,6,556.0,25,4.5,Yes
2025-04-11 21:36:09,32,Female,Mizoram,Sleepwear,Adidas,4,408.0,20,1.0,No
2025-04-11 21:36:09,41,Male,Himachal Pradesh,Shorts,Raymond,2,931.0,20,4.0,Yes
2025-04-11 21:36:09,33,Male,Karnataka,Shirts,Pantaloons,5,632.0,15,4.5,Yes
2025-04-11 21:36:09,20,Female,Telangana,Skirts,Nike,5,531.0,25,1.0,No
2025-04-11 21:36:09,66,Male,Odisha,Sweaters,Nike,4,963.0,30,4.5,Yes
2025-04-11 21:36:09,20,Male,Telangana,Skirts,Zudio,2,588.0,20,3.0,Yes
2025-04-11 21:36:09,25,Male,Uttar Pradesh,Jackets,H&M,6,558.0,25,3.5,Yes
2025-04-11 21:36:09,20,Female,Assam,Formal Wear,Puma,4,607.0,30,5.0,Yes
2025-04-11 21:36:09,35,Female,Telangana,Trousers,Nike,1,489.0,10,2.5,No
2025-04-11 21:36:09,39,Male,Uttarakhand,Formal Wear,Pantaloons,7,674.0,10,1.5,No
2025-04-11 21:36:09,31,Female,Karnataka,Shorts,H&M,3,735.0,20,1.0,No
2025-04-11 21:36:09,47,Female,Gujarat,Undergarments,Puma,7,545.0,20,5.0,Yes
2025-04-11 21:36:09,46,Male,Maharashtra,Suits,Pantaloons,5,656.0,10,5.0,Yes
2025-04-11 21:36:09,64,Male,Karnataka,Skirts,Pantaloons,6,722.0,30,1.0,Yes
2025-04-11 21:36:09,40,Male,Madhya Pradesh,Formal Wear,Raymond,1,528.0,30,4.0,Yes
2025-04-11 21:36:09,38,Male,Madhya Pradesh,Trousers,Raymond,2,987.0,25,4.0,Yes
2025-04-11 21:36:09,34,Male,Madhya Pradesh,Activewear,H&M,1,526.0,25,4.5,No
2025-04-11 21:36:09,46,Male,Odisha,Undergarments,Adidas,7,823.0,20,3.5,Yes
2025-04-11 21:36:09,54,Female,Arunachal Pradesh,Trousers,Nike,4,737.0,15,5.0,No
2025-04-11 21:36:09,41,Male,Himachal Pradesh,Activewear,Pantaloons,3,745.0,30,5.0,Yes
2025-04-11 21:36:09,44,Male,Uttar Pradesh,Formal Wear,Pantaloons,3,450.0,30,3.0,Yes
2025-04-11 21:36:09,43,Female,Odisha,Jeans,H&M,7,929.0,25,3.5,No
2025-04-11 21:36:09,54,Male,Tripura,Ethnic Wear,H&M,3,681.0,25,3.5,No
2025-04-11 21:36:09,54,Female,Andhra Pradesh,Shirts,Puma,5,554.0,15,3.5,Yes
2025-04-11 21:36:09,67,Male,Punjab,Activewear,Pantaloons,5,677.0,10,2.5,No
2025-04-11 21:36:09,44,Female,Maharashtra,Dresses,Adidas,4,568.0,25,1.5,No
2025-04-11 21:36:09,56,Male,Tripura,Shorts,Puma,6,672.0,25,2.5,Yes
2025-04-11 21:36:09,64,Female,Kerala,Formal Wear,Pantaloons,3,931.0,10,2.0,No
2025-04-11 21:36:09,18,Female,Arunachal Pradesh,Trousers,Levie's,3,622.0,20,1.0,No
2025-04-11 21:36:09,20,Male,Arunachal Pradesh,Activewear,Pantaloons,2,911.0,25,4.0,No
2025-04-11 21:36:09,64,Female,Bihar,Formal Wear,Levie's,2,651.0,20,4.5,No
2025-04-11 21:36:09,65,Female,Nagaland,Ethnic Wear,Raymond,4,409.0,30,3.5,No
2025-04-11 21:36:09,24,Female,Meghalaya,Jeans,Raymond,5,732.0,10,2.0,No
2025-04-11 21:36:09,40,Male,Maharashtra,Formal Wear,Raymond,6,870.0,15,3.5,Yes
2025-04-11 21:36:09,54,Male,Manipur,Jeans,H&M,3,829.0,30,4.5,Yes
2025-04-11 21:36:09,56,Female,Jharkhand,Sleepwear,Nike,4,907.0,25,5.0,No
2025-04-11 21:36:09,45,Female,Mizoram,Formal Wear,Levie's,5,471.0,10,3.5,No
